rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
0.0671185300000001,1755600,5852,1956,0.01,300.0,897,0.0001,17155,0.010488655418157578
0.1290219600000003,1756800,5856,1956,0.01,300.0,897,0.0001,17167,0.008295156992971897
-0.0018844399999999872,1758000,5860,1957,0.01,300.0,897,0.0001,17179,0.004449011292308569
0.029898089999999888,1759200,5864,1958,0.01,300.0,898,0.0001,17191,0.008012665435671806
0.18550016999999985,1760400,5868,1959,0.01,300.0,898,0.0001,17203,0.006827089469879866
0.1079621599999999,1761600,5872,1960,0.01,300.0,898,0.0001,17215,0.005012287758290768
0.13290443999999987,1762800,5876,1961,0.01,300.0,898,0.0001,17227,0.00976315326988697
0.04685579999999975,1764000,5880,1962,0.01,300.0,898,0.0001,17239,0.00426437146961689
-0.39095446000000017,1765200,5884,1963,0.01,300.0,899,0.0001,17251,0.004577901214361191
-0.5406681299999997,1766400,5888,1964,0.01,300.0,899,0.0001,17263,0.00677843950688839
-0.7709230000000001,1767600,5892,1965,0.01,300.0,899,0.0001,17275,0.0061092860996723175
-0.7154840800000002,1768800,5896,1965,0.01,300.0,899,0.0001,17287,0.005184326786547899
-0.6881130799999999,1770000,5900,1966,0.01,300.0,899,0.0001,17299,0.0063993195071816444
-0.59832723,1771200,5904,1967,0.01,300.0,900,0.0001,17311,0.005842783022671938
-0.6748777199999999,1772400,5908,1968,0.01,300.0,900,0.0001,17323,0.008031056262552738
-0.8064794900000001,1773600,5912,1969,0.01,300.0,900,0.0001,17335,0.003733309917151928
-0.5918852600000003,1774800,5916,1970,0.01,300.0,900,0.0001,17347,0.00538680050522089
-0.7488884499999997,1776000,5920,1971,0.01,300.0,901,0.0001,17359,0.004548144526779652
-0.7651538599999997,1777200,5924,1971,0.01,300.0,901,0.0001,17371,0.006410566624253988
-0.7687202599999998,1778400,5928,1972,0.01,300.0,901,0.0001,17383,0.00475027970969677
-0.9040221799999997,1779600,5932,1973,0.01,300.0,901,0.0001,17395,0.007911824621260166
-0.96344977,1780800,5936,1974,0.01,300.0,901,0.0001,17407,0.0073560141026973724
-0.9323495100000002,1782000,5940,1975,0.01,300.0,902,0.0001,17419,0.012419388629496098
-0.9357417299999998,1783200,5944,1975,0.01,300.0,902,0.0001,17431,0.0035129438620060682
-0.6159599999999997,1784400,5948,1976,0.01,300.0,902,0.0001,17443,0.004629895091056824
-0.34600504999999976,1785600,5952,1977,0.01,300.0,902,0.0001,17455,0.010816579684615135
-0.3891247499999998,1786800,5956,1978,0.01,300.0,903,0.0001,17467,0.004465649835765362
-0.07166811999999996,1788000,5960,1979,0.01,300.0,903,0.0001,17479,0.013807689771056175
-0.11878747000000008,1789200,5964,1979,0.01,300.0,903,0.0001,17491,0.006072928197681904
0.21272788999999995,1790400,5968,1980,0.01,300.0,903,0.0001,17503,0.005892692133784294
0.4545457600000002,1791600,5972,1981,0.01,300.0,904,0.0001,17515,0.006653524935245514
1.1467365900000002,1792800,5976,1982,0.01,300.0,904,0.0001,17527,0.008131643757224083
0.8998807299999999,1794000,5980,1983,0.01,300.0,904,0.0001,17539,0.008725005201995373
1.2855522,1795200,5984,1983,0.01,300.0,904,0.0001,17551,0.005156201776117086
1.3341836399999998,1796400,5988,1984,0.01,300.0,905,0.0001,17563,0.005359048955142498
1.3990966299999998,1797600,5992,1985,0.01,300.0,905,0.0001,17575,0.006010907702147961
1.4013567799999997,1798800,5996,1986,0.01,300.0,905,0.0001,17587,0.0035029929131269455
1.8916201000000001,1800000,6000,2049,0.01,300.0,878,0.0001,17599,0.0037131267599761486
1.7006557299999994,1801200,6004,2050,0.01,300.0,878,0.0001,17611,0.005146742332726717
1.9158474699999999,1802400,6008,2051,0.01,300.0,878,0.0001,17623,0.007873337715864182
1.9217922699999996,1803600,6012,2052,0.01,300.0,878,0.0001,17635,0.004084271378815174
1.3847570499999993,1804800,6016,2053,0.01,300.0,878,0.0001,17647,0.004652197472751141
1.3838787300000002,1806000,6020,2054,0.01,300.0,879,0.0001,17659,0.00653462391346693
1.4588246399999998,1807200,6024,2055,0.01,300.0,879,0.0001,17671,0.015552153810858727
1.8705109299999998,1808400,6028,2055,0.01,300.0,879,0.0001,17683,0.004210463725030422
2.40459895,1809600,6032,2056,0.01,300.0,879,0.0001,17695,0.012732401490211487
2.05488489,1810800,6036,2057,0.01,300.0,880,0.0001,17707,0.0059910486452281475
2.11198126,1812000,6040,2058,0.01,300.0,880,0.0001,17719,0.0040694959461688995
2.6726370899999994,1813200,6044,2059,0.01,300.0,880,0.0001,17731,0.005873224698007107
2.56618835,1814400,6048,2059,0.01,300.0,880,0.0001,17743,0.007313935551792383
2.65500209,1815600,6052,2060,0.01,300.0,881,0.0001,17755,0.006554906256496906
2.46764581,1816800,6056,2061,0.01,300.0,881,0.0001,17767,0.006952393800020218
2.60342323,1818000,6060,2062,0.01,300.0,881,0.0001,17779,0.0072075179778039455
2.63542944,1819200,6064,2063,0.01,300.0,881,0.0001,17791,0.006215838715434074
2.4820504,1820400,6068,2063,0.01,300.0,882,0.0001,17803,0.004314498510211706
2.3354718699999997,1821600,6072,2064,0.01,300.0,882,0.0001,17815,0.005440086126327515
1.8727069299999997,1822800,6076,2065,0.01,300.0,882,0.0001,17827,0.004637253005057573
2.14599967,1824000,6080,2066,0.01,300.0,882,0.0001,17839,0.005421904847025871
2.08216475,1825200,6084,2066,0.01,300.0,883,0.0001,17851,0.0035016704350709915
1.9023427400000004,1826400,6088,2067,0.01,300.0,883,0.0001,17863,0.0038231820799410343
1.66355391,1827600,6092,2068,0.01,300.0,883,0.0001,17875,0.006117761600762606
1.7621241199999997,1828800,6096,2069,0.01,300.0,883,0.0001,17887,0.004552309401333332
1.42198567,1830000,6100,2070,0.01,300.0,884,0.0001,17899,0.005806576926261187
1.6575059099999996,1831200,6104,2070,0.01,300.0,884,0.0001,17911,0.008350863121449947
1.58987702,1832400,6108,2071,0.01,300.0,884,0.0001,17923,0.0064642345532774925
1.32349767,1833600,6112,2072,0.01,300.0,884,0.0001,17935,0.005414124578237534
1.4776917500000002,1834800,6116,2073,0.01,300.0,884,0.0001,17947,0.0039414274506270885
1.6965792100000001,1836000,6120,2074,0.01,300.0,884,0.0001,17959,0.006847119890153408
1.52105717,1837200,6124,2075,0.01,300.0,885,0.0001,17971,0.007830346003174782
1.20302294,1838400,6128,2076,0.01,300.0,885,0.0001,17983,0.008712063543498516
0.7337239199999999,1839600,6132,2077,0.01,300.0,885,0.0001,17995,0.004622310400009155
1.24524399,1840800,6136,2078,0.01,300.0,885,0.0001,18007,0.0031567541882395744
1.1594376,1842000,6140,2079,0.01,300.0,885,0.0001,18019,0.004988750442862511
0.6852037900000001,1843200,6144,2080,0.01,300.0,886,0.0001,18031,0.0037052955012768507
0.48584912999999974,1844400,6148,2080,0.01,300.0,886,0.0001,18043,0.005559681449085474
0.39234998999999965,1845600,6152,2081,0.01,300.0,886,0.0001,18055,0.00815636944025755
0.4195289799999999,1846800,6156,2082,0.01,300.0,886,0.0001,18067,0.006195159628987312
0.08068588999999998,1848000,6160,2083,0.01,300.0,886,0.0001,18079,0.005519437603652477
0.12012713999999974,1849200,6164,2084,0.01,300.0,887,0.0001,18091,0.003412756137549877
-0.023189010000000218,1850400,6168,2085,0.01,300.0,887,0.0001,18103,0.00351472245529294
-0.2674448700000001,1851600,6172,2085,0.01,300.0,887,0.0001,18115,0.006075798533856869
-0.12830294000000006,1852800,6176,2086,0.01,300.0,887,0.0001,18127,0.005074281245470047
-0.3166751500000002,1854000,6180,2087,0.01,300.0,888,0.0001,18139,0.005023937672376633
-0.29846511000000026,1855200,6184,2088,0.01,300.0,888,0.0001,18151,0.006837922148406506
-0.36321348999999997,1856400,6188,2089,0.01,300.0,888,0.0001,18163,0.004951140843331814
0.08938112999999995,1857600,6192,2090,0.01,300.0,888,0.0001,18175,0.006698694080114365
-0.16145741000000022,1858800,6196,2091,0.01,300.0,888,0.0001,18187,0.004744234960526228
-0.3243876500000002,1860000,6200,2091,0.01,300.0,889,0.0001,18199,0.006013147532939911
-0.2975368200000002,1861200,6204,2092,0.01,300.0,889,0.0001,18211,0.004287129268050194
0.22837711999999982,1862400,6208,2093,0.01,300.0,889,0.0001,18223,0.008038029074668884
0.6170942599999999,1863600,6212,2094,0.01,300.0,889,0.0001,18235,0.004763508681207895
