rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,1441,189,273600,912,-0.019110370000000085,0.4889358490566037,0.0013401461765170097,0.0001,2335
300.0,1443,190,274800,916,-0.024853720000000093,0.48669433962264175,0.0025267149321734905,0.0001,2347
300.0,1446,190,276000,920,-0.004269230000000026,0.48445283018867924,0.0010201820405200124,0.0001,2359
300.0,1448,191,277200,924,-0.12609930000000003,0.48221132075471673,0.0038973158225417137,0.0001,2371
300.0,1451,191,278400,928,0.03418858999999997,0.4799698113207548,0.0019116360927000642,0.0001,2383
300.0,1453,192,279600,932,0.12204167999999996,0.4777283018867924,0.003031959291547537,0.0001,2395
300.0,1456,192,280800,936,0.11572090999999997,0.4754867924528303,0.0015511835226789117,0.0001,2407
300.0,1458,193,282000,940,0.18616364999999999,0.4732452830188679,0.002109894761815667,0.0001,2419
300.0,1461,193,283200,944,0.2531507,0.47100377358490586,0.002755570225417614,0.0001,2431
300.0,1463,194,284400,948,0.24558680999999996,0.46876226415094346,0.001159887295216322,0.0001,2443
300.0,1465,194,285600,952,0.28332342,0.46652075471698107,0.0025922791101038456,0.0001,2455
300.0,1468,195,286800,956,0.4824983599999998,0.464279245283019,0.002796072978526354,0.0001,2467
300.0,1470,195,288000,960,0.3128277899999999,0.4620377358490566,0.002220961032435298,0.0001,2479
300.0,1472,196,289200,964,0.24177453999999993,0.4597962264150941,0.002529284218326211,0.0001,2491
300.0,1475,196,290400,968,0.30390626999999987,0.45755471698113215,0.0023764579091221094,0.0001,2503
300.0,1477,197,291600,972,0.1581050599999999,0.45531320754716975,0.0025751013308763504,0.0001,2515
300.0,1478,198,292800,976,0.14759454999999988,0.4530716981132077,0.003627064870670438,0.0001,2527
300.0,1480,198,294000,980,0.02280739999999997,0.4508301886792452,0.0025276271626353264,0.0001,2539
300.0,1482,199,295200,984,0.06851978999999997,0.44858867924528323,0.002121453173458576,0.0001,2551
300.0,1485,199,296400,988,-0.09454455000000003,0.44634716981132083,0.0020246063359081745,0.0001,2563
300.0,1487,200,297600,992,-0.02862782000000005,0.4441056603773583,0.004153106361627579,0.0001,2575
300.0,1489,200,298800,996,0.034356909999999984,0.44186415094339637,0.0035027978010475636,0.0001,2587
300.0,1227,244,300000,1000,-0.08944897999999996,0.43962264150943386,0.002214114647358656,0.0001,2599
300.0,1229,245,301200,1004,-0.11347526000000002,0.43738113207547147,0.002140601398423314,0.0001,2611
300.0,1231,245,302400,1008,-0.045530820000000014,0.4351396226415095,0.0038305106572806835,0.0001,2623
300.0,1233,246,303600,1012,-0.08987938999999995,0.43289811320754745,0.0018888411577790976,0.0001,2635
300.0,1235,246,304800,1016,-0.15943970999999996,0.43065660377358506,0.003410530276596546,0.0001,2647
300.0,1238,247,306000,1020,-0.1383458,0.42841509433962255,0.0030748986173421144,0.0001,2659
300.0,1240,247,307200,1024,-0.01131340999999999,0.4261735849056606,0.002883241744711995,0.0001,2671
300.0,1242,248,308400,1028,-0.0001908400000000121,0.4239320754716981,0.0032728195656090975,0.0001,2683
300.0,1244,248,309600,1032,0.022531739999999956,0.4216905660377357,0.0019745046738535166,0.0001,2695
