time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
270,628,-0.23717024000000006,83,169984,300.0,0.0003,0.14776545763015747,-0.060008466243743896,0.021850351,0.0619519365252927,-1.0860993925482034,-0.0388227188057499,0.2,820,0.194873046875
272,630,-0.06483431000000005,84,172032,300.0,0.0003,0.03561669588088989,-0.037661802023649216,0.020472646,0.036388487980002535,-1.0890625782310963,-0.03898300847795326,0.2,830,0.191259765625
277,628,0.03292096999999996,85,174080,300.0,0.0003,0.046448469161987305,-0.016475394368171692,0.020001613,0.09984430032782257,-1.0856585055589676,-0.037569345883093776,0.2,840,0.17392578125
279,630,0.03869172,86,176128,300.0,0.0003,0.0920524001121521,-0.045478422194719315,0.017579496,0.05684620612300932,-1.0715127162635327,-0.03377956661570351,0.2,850,0.162744140625
281,633,0.02792150999999997,87,178176,300.0,0.0003,0.010201334953308105,-0.05968796834349632,0.017575689,0.06088102852227166,-1.1127668803557753,-0.033584012984647416,0.2,860,0.177490234375
283,634,0.09208473999999997,88,180224,300.0,0.0003,0.08700740337371826,-0.0656222328543663,0.018498823,0.030915707914391532,-1.0512260481715203,-0.0381721314159222,0.2,870,0.186474609375
286,636,0.09998583999999998,89,182272,300.0,0.0003,-0.0637061595916748,-0.032848719507455826,0.01662718,0.030378287995699794,-1.0498630626127123,-0.03327684008690994,0.2,880,0.1619140625
288,638,-0.08377433000000009,90,184320,300.0,0.0003,-0.09590435028076172,-0.04210606962442398,0.017513605,0.024880683378432876,-1.0561023270711303,-0.03357092391961487,0.2,890,0.173388671875
290,641,-0.02198918000000007,91,186368,300.0,0.0003,-0.09016335010528564,-0.04396219179034233,0.018085599,0.024065111158415677,-1.0675142917782068,-0.03711806382634677,0.2,900,0.180859375
293,643,-0.18611660000000005,92,188416,300.0,0.0003,0.16883236169815063,-0.0749303549528122,0.019951437,0.01808501032064669,-1.0302351370453835,-0.036442342195368835,0.2,910,0.178271484375
295,644,-0.2240021000000001,93,190464,300.0,0.0003,0.10864138603210449,-0.031671978533267975,0.020588227,0.043989561090711504,-1.03135037869215,-0.03354507583426312,0.2,920,0.19326171875
298,645,-0.19300091000000003,94,192512,300.0,0.0003,0.1486293077468872,-0.06089651584625244,0.02039335,0.04036940801888704,-1.0813356533646583,-0.03814195054001175,0.2,930,0.197412109375
300,647,-0.15270504000000004,95,194560,300.0,0.0003,0.2025916576385498,-0.02532953955233097,0.018736295,0.060844641859875995,-1.0437281604856252,-0.035911463337833995,0.2,940,0.187451171875
304,646,-0.28049482000000003,96,196608,300.0,0.0003,0.22428882122039795,-0.02930973656475544,0.022466067,0.03127074415097013,-1.0315464815124868,-0.03917754991271068,0.2,950,0.2041015625
308,644,0.013620750000000062,97,198656,300.0,0.0003,0.3497702479362488,-0.027821438387036324,0.022633012,0.036376983032096175,-1.0408852033317089,-0.037119306245585904,0.2,960,0.1927734375
371,539,0.12390656000000007,98,200704,300.0,0.0003,-0.29178881645202637,-0.07569964975118637,0.018648708,0.02788308200542815,-1.0840990787371994,-0.03785162135027349,0.2,970,0.18466796875
374,540,-0.012469159999999934,99,202752,300.0,0.0003,0.01008462905883789,-0.052078038454055786,0.024834752,0.03434867789328564,-1.0436648830771447,-0.03563669146242319,0.2,980,0.215478515625
378,541,-0.21994878,100,204800,300.0,0.0003,-0.009217500686645508,-0.04505886137485504,0.017671091,0.044732254807604475,-1.074174258299172,-0.03235662164515816,0.2,990,0.17880859375
380,543,-0.02424670999999999,101,206848,300.0,0.0003,0.10285335779190063,-0.06406985223293304,0.019076295,0.05910804666345939,-1.0395802875980735,-0.03643113545404049,0.2,1000,0.18369140625
383,544,-0.11808442999999996,102,208896,300.0,0.0003,-0.10836327075958252,-0.04014347121119499,0.021658216,0.05787310276646167,-1.0508035900071264,-0.038722314580809325,0.2,1010,0.18701171875
386,546,-0.10953789999999998,103,210944,300.0,0.0003,-0.14894366264343262,-0.04365113377571106,0.020154938,0.02037453368830029,-1.0718321388587355,-0.03611612999811768,0.2,1020,0.202734375
388,548,-0.12721465999999995,104,212992,300.0,0.0003,-0.026271581649780273,-0.01681709662079811,0.018771794,0.10321426898008212,-1.064968221820891,-0.033469880785560235,0.2,1030,0.175927734375
390,550,-0.06944457000000002,105,215040,300.0,0.0003,0.09416419267654419,-0.028680069372057915,0.023891682,0.05249859063187614,-1.0581243945285679,-0.03669553068757523,0.2,1040,0.194677734375
392,552,0.06293525999999995,106,217088,300.0,0.0003,-0.049697279930114746,-0.016887418925762177,0.02063715,0.05973595714312978,-1.0617344556376338,-0.03451339042803738,0.2,1050,0.18876953125
395,554,0.15556001,107,219136,300.0,0.0003,-0.04729485511779785,-0.03117886185646057,0.019925348,0.054027793841669336,-1.053812263533473,-0.03504590741940774,0.2,1060,0.176708984375
397,555,0.26497823000000004,108,221184,300.0,0.0003,0.02802950143814087,-0.03814917057752609,0.01857718,0.05403946040314622,-1.0371969606727363,-0.037145218325895256,0.2,1070,0.170947265625
399,558,0.32105798,109,223232,300.0,0.0003,0.2528281807899475,-0.060518357902765274,0.02242825,0.03254013054538518,-1.0170249857008458,-0.03365754965343513,0.2,1080,0.205810546875
401,560,0.46052612,110,225280,300.0,0.0003,0.13931870460510254,-0.00888560339808464,0.026808605,0.058937290572794156,-1.0197909409180284,-0.038277807961276264,0.2,1090,0.2107421875
404,562,0.4557390999999999,111,227328,300.0,0.0003,0.09680908918380737,-0.05174336954951286,0.019135091,0.03391194815048948,-1.0108763748779892,-0.031254759084549735,0.2,1100,0.196435546875
409,559,0.21527581,112,229376,300.0,0.0003,0.2336578369140625,-0.045053593814373016,0.024256758,0.042804578522918746,-1.0149021741002797,-0.03907762531453045,0.2,1110,0.203271484375
414,558,0.25769338,113,231424,300.0,0.0003,0.24888169765472412,-0.0519380047917366,0.023363858,0.024683173070661722,-0.9972217669710517,-0.03805657950579189,0.2,1120,0.194482421875
421,554,0.26965981,114,233472,300.0,0.0003,0.4817315936088562,-0.08378800749778748,0.02154411,0.019469778265920466,-0.9581085029989481,-0.03655752932245378,0.2,1130,0.189013671875
424,555,0.2947991099999999,115,235520,300.0,0.0003,0.21610277891159058,-0.056402117013931274,0.02043587,0.05386156424647197,-0.9885013934224844,-0.037036363218794575,0.2,1140,0.198046875
428,554,0.23090139000000007,116,237568,300.0,0.0003,0.21100664138793945,-0.039967767894268036,0.021033634,0.06112116294098087,-0.9898175448179245,-0.03406734352756757,0.2,1150,0.217724609375
433,552,0.28644361,117,239616,300.0,0.0003,0.2831125855445862,-0.05055272579193115,0.025344387,0.025288401817670093,-0.9547118144109845,-0.03696782852784963,0.2,1160,0.198095703125
