time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
194400,648,1686,115,0.15158067999999997,300.0,0.6368754716981134,0.005255655385553837,1543,0.0001
195600,652,1689,115,0.22947611999999992,300.0,0.634633962264151,0.00683453306555748,1555,0.0001
196800,656,1692,116,0.23864498999999995,300.0,0.6323924528301885,0.003678941633552313,1567,0.0001
198000,660,1696,116,0.18975161000000004,300.0,0.6301509433962265,0.0075825657695531845,1579,0.0001
199200,664,1699,117,0.2681943500000001,300.0,0.6279094339622641,0.0035694169346243143,1591,0.0001
200400,668,1258,159,0.3105589700000001,300.0,0.6256679245283021,0.006165932398289442,1603,0.0001
201600,672,1262,159,0.23853513000000007,300.0,0.6234264150943396,0.003834094386547804,1615,0.0001
202800,676,1266,160,0.25588278,300.0,0.6211849056603772,0.006810788065195084,1627,0.0001
204000,680,1270,160,0.19090777999999997,300.0,0.6189433962264153,0.004827345255762339,1639,0.0001
205200,684,1273,161,0.30872737,300.0,0.6167018867924527,0.004390615038573742,1651,0.0001
206400,688,1277,161,0.25016249000000007,300.0,0.6144603773584907,0.003844207851216197,1663,0.0001
207600,692,1279,162,0.17701743000000011,300.0,0.6122188679245283,0.007647097110748291,1675,0.0001
208800,696,1283,162,0.13443407000000002,300.0,0.6099773584905659,0.0035998693201690912,1687,0.0001
210000,700,1286,163,0.20591718999999997,300.0,0.6077358490566038,0.0028969133272767067,1699,0.0001
211200,704,1290,163,0.16481055,300.0,0.6054943396226414,0.007690762635320425,1711,0.0001
212400,708,1294,164,0.24392651000000004,300.0,0.6032528301886795,0.009096335619688034,1723,0.0001
213600,712,1297,164,0.13937387000000004,300.0,0.601011320754717,0.004785002209246159,1735,0.0001
214800,716,1300,165,0.08588946000000006,300.0,0.5987698113207549,0.002701450837776065,1747,0.0001
216000,720,1304,165,0.05126048000000005,300.0,0.5965283018867925,0.004330713301897049,1759,0.0001
217200,724,1307,166,0.02909923000000001,300.0,0.5942867924528301,0.004008602350950241,1771,0.0001
218400,728,1310,166,-0.043264640000000056,300.0,0.592045283018868,0.0035433706361800432,1783,0.0001
219600,732,1313,167,-0.055890600000000006,300.0,0.5898037735849057,0.007094723172485828,1795,0.0001
220800,736,1317,167,-0.15176099,300.0,0.5875622641509433,0.006091784220188856,1807,0.0001
222000,740,1319,168,-0.15374079,300.0,0.5853207547169812,0.00466697895899415,1819,0.0001
223200,744,1322,168,0.03592037000000003,300.0,0.5830792452830188,0.005664557684212923,1831,0.0001
224400,748,1325,169,-0.2543627,300.0,0.5808377358490567,0.003634315449744463,1843,0.0001
225600,752,1328,169,-0.26929870000000006,300.0,0.5785962264150943,0.002747452585026622,1855,0.0001
226800,756,1332,170,-0.27839951,300.0,0.5763547169811323,0.0038936403580009937,1867,0.0001
228000,760,1335,170,-0.29977584999999995,300.0,0.5741132075471699,0.00475533539429307,1879,0.0001
229200,764,1338,171,-0.3676107699999999,300.0,0.5718716981132075,0.006713745184242725,1891,0.0001
230400,768,1341,171,-0.32982526999999984,300.0,0.5696301886792454,0.004764348268508911,1903,0.0001
231600,772,1344,172,-0.35488693999999993,300.0,0.567388679245283,0.007611164357513189,1915,0.0001
232800,776,1347,172,-0.2873101699999999,300.0,0.5651471698113206,0.00948961079120636,1927,0.0001
234000,780,1350,173,-0.35906156999999994,300.0,0.5629056603773586,0.004965495318174362,1939,0.0001
