time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,train/loss,train/learning_rate,train/n_updates
133,0.77208011,1428,300.0,0.6435999999999998,190800,636,0.010298040695488453,0.0001,1507
134,0.5546003099999998,1431,300.0,0.6413584905660379,192000,640,0.009122255258262157,0.0001,1519
134,0.23373042999999982,1434,300.0,0.6391169811320754,193200,644,0.007342275232076645,0.0001,1531
135,0.14616669999999987,1437,300.0,0.6368754716981134,194400,648,0.008897683583199978,0.0001,1543
135,0.45909334,1440,300.0,0.634633962264151,195600,652,0.01013937033712864,0.0001,1555
136,0.52467725,1443,300.0,0.6323924528301885,196800,656,0.008540581911802292,0.0001,1567
137,0.10583611000000002,1444,300.0,0.6301509433962265,198000,660,0.010069598443806171,0.0001,1579
137,0.5713997,1447,300.0,0.6279094339622641,199200,664,0.007022679317742586,0.0001,1591
188,0.2766569099999999,1064,300.0,0.6256679245283021,200400,668,0.011499818414449692,0.0001,1603
188,-0.33258318999999986,1067,300.0,0.6234264150943396,201600,672,0.006199382711201906,0.0001,1615
189,-0.09984870999999995,1070,300.0,0.6211849056603772,202800,676,0.011034686118364334,0.0001,1627
190,-0.12279802000000001,1073,300.0,0.6189433962264153,204000,680,0.008668599650263786,0.0001,1639
190,0.12997928000000006,1076,300.0,0.6167018867924527,205200,684,0.007558329962193966,0.0001,1651
191,-0.3255406399999999,1079,300.0,0.6144603773584907,206400,688,0.007349350955337286,0.0001,1663
191,-0.2898926199999999,1082,300.0,0.6122188679245283,207600,692,0.014467633329331875,0.0001,1675
192,-0.5888453399999999,1085,300.0,0.6099773584905659,208800,696,0.006792658939957619,0.0001,1687
193,-0.6505896099999999,1088,300.0,0.6077358490566038,210000,700,0.00525955855846405,0.0001,1699
193,-0.42355484000000004,1090,300.0,0.6054943396226414,211200,704,0.012147086672484875,0.0001,1711
194,-0.1757752300000001,1093,300.0,0.6032528301886795,212400,708,0.013196118175983429,0.0001,1723
194,-0.22521185000000002,1095,300.0,0.601011320754717,213600,712,0.00789355207234621,0.0001,1735
195,-0.25805962,1098,300.0,0.5987698113207549,214800,716,0.005653684958815575,0.0001,1747
196,-0.6394632600000001,1100,300.0,0.5965283018867925,216000,720,0.0074804374016821384,0.0001,1759
197,-0.6357272500000002,1101,300.0,0.5942867924528301,217200,724,0.0070818704552948475,0.0001,1771
197,-0.8497113200000003,1104,300.0,0.592045283018868,218400,728,0.006867017596960068,0.0001,1783
198,-0.9457149900000004,1106,300.0,0.5898037735849057,219600,732,0.009901994839310646,0.0001,1795
199,-0.9716686700000001,1109,300.0,0.5875622641509433,220800,736,0.010175234638154507,0.0001,1807
199,-1.08186579,1111,300.0,0.5853207547169812,222000,740,0.0096130995079875,0.0001,1819
200,-0.6220730200000001,1114,300.0,0.5830792452830188,223200,744,0.009900749661028385,0.0001,1831
200,-0.9729988699999998,1117,300.0,0.5808377358490567,224400,748,0.006104400847107172,0.0001,1843
201,-1.61653666,1119,300.0,0.5785962264150943,225600,752,0.00622880645096302,0.0001,1855
202,-1.4992041799999998,1122,300.0,0.5763547169811323,226800,756,0.007211669813841581,0.0001,1867
202,-1.4292141699999998,1125,300.0,0.5741132075471699,228000,760,0.009523754939436913,0.0001,1879
203,-1.8575187400000004,1127,300.0,0.5718716981132075,229200,764,0.009857140481472015,0.0001,1891
203,-1.66374728,1130,300.0,0.5696301886792454,230400,768,0.00787623692303896,0.0001,1903
204,-1.4045871499999998,1133,300.0,0.567388679245283,231600,772,0.013540087267756462,0.0001,1915
204,-1.3990371099999999,1135,300.0,0.5651471698113206,232800,776,0.014941032975912094,0.0001,1927
205,-1.57115842,1138,300.0,0.5629056603773586,234000,780,0.008445057086646557,0.0001,1939
206,-1.34757246,1141,300.0,0.5606641509433961,235200,784,0.007840486243367195,0.0001,1951
206,-0.94027487,1143,300.0,0.5584226415094341,236400,788,0.008579080924391747,0.0001,1963
207,-0.9401633699999999,1146,300.0,0.5561811320754717,237600,792,0.009503237903118134,0.0001,1975
207,-0.7446713299999997,1149,300.0,0.5539396226415096,238800,796,0.007861493155360222,0.0001,1987
208,-0.6673675399999998,1151,300.0,0.5516981132075472,240000,800,0.010543112643063068,0.0001,1999
208,-0.6933818299999998,1154,300.0,0.5494566037735849,241200,804,0.006845453754067421,0.0001,2011
209,-0.4976505499999999,1156,300.0,0.5472150943396228,242400,808,0.012964135967195034,0.0001,2023
210,-0.34850216,1159,300.0,0.5449735849056603,243600,812,0.005518840625882149,0.0001,2035
210,-0.40164233999999993,1162,300.0,0.5427320754716983,244800,816,0.013129346072673798,0.0001,2047
211,-0.28075421999999983,1164,300.0,0.5404905660377359,246000,820,0.01016970258206129,0.0001,2059
211,-0.41727517999999997,1167,300.0,0.5382490566037734,247200,824,0.012522583827376366,0.0001,2071
212,-0.06735149000000003,1169,300.0,0.5360075471698115,248400,828,0.011436170898377895,0.0001,2083
212,-0.04340630999999999,1172,300.0,0.5337660377358491,249600,832,0.012204059399664402,0.0001,2095
213,-0.04356678999999997,1175,300.0,0.531524528301887,250800,836,0.01614418253302574,0.0001,2107
213,-0.0399234399999999,1177,300.0,0.5292830188679245,252000,840,0.010380731895565987,0.0001,2119
214,-0.17997716999999988,1180,300.0,0.527041509433962,253200,844,0.011061383411288261,0.0001,2131
215,-0.07339888999999993,1182,300.0,0.5248000000000002,254400,848,0.00881115160882473,0.0001,2143
215,0.49112433999999977,1184,300.0,0.5225584905660376,255600,852,0.010221332311630249,0.0001,2155
216,0.17931834999999993,1186,300.0,0.5203169811320757,256800,856,0.008892010897397995,0.0001,2167
217,0.46194154,1188,300.0,0.5180754716981133,258000,860,0.006500772200524807,0.0001,2179
217,0.62801458,1190,300.0,0.5158339622641512,259200,864,0.01214089896529913,0.0001,2191
218,0.5935630100000001,1193,300.0,0.5135924528301887,260400,868,0.009410731494426727,0.0001,2203
218,0.8191245000000003,1195,300.0,0.5113509433962263,261600,872,0.009265844710171223,0.0001,2215
219,0.71536968,1197,300.0,0.5091094339622644,262800,876,0.010362805798649788,0.0001,2227
219,1.03985165,1200,300.0,0.5068679245283019,264000,880,0.0066125718876719475,0.0001,2239
220,0.66765629,1202,300.0,0.5046264150943394,265200,884,0.016996731981635094,0.0001,2251
221,0.2615212200000001,1204,300.0,0.5023849056603774,266400,888,0.010388258844614029,0.0001,2263
221,0.22128110000000017,1206,300.0,0.500143396226415,267600,892,0.012820864096283913,0.0001,2275
222,0.3666857600000001,1208,300.0,0.49790188679245306,268800,896,0.007058694027364254,0.0001,2287
223,0.7238165000000001,1210,300.0,0.49566037735849056,270000,900,0.006817354820668697,0.0001,2299
223,0.7416184699999999,1212,300.0,0.4934188679245285,271200,904,0.009208842180669308,0.0001,2311
224,0.36838153999999995,1214,300.0,0.4911773584905661,272400,908,0.007422992959618568,0.0001,2323
224,0.5310184799999998,1216,300.0,0.4889358490566037,273600,912,0.007154305465519428,0.0001,2335
225,0.34388423999999973,1218,300.0,0.48669433962264175,274800,916,0.009115772321820259,0.0001,2347
226,0.1618709399999998,1220,300.0,0.48445283018867924,276000,920,0.01338071096688509,0.0001,2359
226,0.34839789,1222,300.0,0.48221132075471673,277200,924,0.012136375531554222,0.0001,2371
227,0.29469323,1224,300.0,0.4799698113207548,278400,928,0.006661101710051298,0.0001,2383
228,0.1604315599999999,1225,300.0,0.4777283018867924,279600,932,0.014317797496914864,0.0001,2395
228,0.14357257999999987,1227,300.0,0.4754867924528303,280800,936,0.00802074745297432,0.0001,2407
229,0.25477429999999984,1229,300.0,0.4732452830188679,282000,940,0.007958381436765194,0.0001,2419
229,0.4126404499999998,1231,300.0,0.47100377358490586,283200,944,0.011593799106776714,0.0001,2431
230,0.3135020999999999,1233,300.0,0.46876226415094346,284400,948,0.01527328509837389,0.0001,2443
231,-0.0009523199999999288,1235,300.0,0.46652075471698107,285600,952,0.009489061310887337,0.0001,2455
231,0.19065802000000015,1237,300.0,0.464279245283019,286800,956,0.008547430858016014,0.0001,2467
232,-0.19142274999999984,1239,300.0,0.4620377358490566,288000,960,0.011342481710016727,0.0001,2479
232,0.02273242000000012,1242,300.0,0.4597962264150941,289200,964,0.010090190917253494,0.0001,2491
233,0.3254926300000001,1244,300.0,0.45755471698113215,290400,968,0.015655914321541786,0.0001,2503
234,0.027462720000000072,1246,300.0,0.45531320754716975,291600,972,0.010298202745616436,0.0001,2515
234,0.11494653999999996,1248,300.0,0.4530716981132077,292800,976,0.0071264938451349735,0.0001,2527
235,0.05528451999999989,1249,300.0,0.4508301886792452,294000,980,0.014968108385801315,0.0001,2539
235,0.07984078999999997,1251,300.0,0.44858867924528323,295200,984,0.01040357630699873,0.0001,2551
236,0.05931811000000001,1253,300.0,0.44634716981132083,296400,988,0.010744249448180199,0.0001,2563
237,0.21954857000000025,1255,300.0,0.4441056603773583,297600,992,0.010832848958671093,0.0001,2575
237,0.43056788000000024,1257,300.0,0.44186415094339637,298800,996,0.008913472294807434,0.0001,2587
288,-0.14471610999999973,1039,300.0,0.43962264150943386,300000,1000,0.012193450704216957,0.0001,2599
289,0.04401990000000027,1041,300.0,0.43738113207547147,301200,1004,0.007882699370384216,0.0001,2611
289,-0.03473828999999998,1043,300.0,0.4351396226415095,302400,1008,0.014205907471477985,0.0001,2623
290,-0.33382125,1045,300.0,0.43289811320754745,303600,1012,0.006755058187991381,0.0001,2635
291,-0.2931871999999999,1047,300.0,0.43065660377358506,304800,1016,0.008146777749061584,0.0001,2647
291,-0.15932719999999992,1049,300.0,0.42841509433962255,306000,1020,0.005402608774602413,0.0001,2659
292,-0.13572684000000004,1051,300.0,0.4261735849056606,307200,1024,0.0071898032911121845,0.0001,2671
292,0.10738853000000007,1053,300.0,0.4239320754716981,308400,1028,0.010705932974815369,0.0001,2683
293,0.6403004600000002,1054,300.0,0.4216905660377357,309600,1032,0.013665957376360893,0.0001,2695
294,0.29269817,1056,300.0,0.41944905660377363,310800,1036,0.011242606677114964,0.0001,2707
294,0.62483255,1058,300.0,0.41720754716981123,312000,1040,0.007954826578497887,0.0001,2719
295,0.6956181700000001,1060,300.0,0.4149660377358493,313200,1044,0.007651519495993853,0.0001,2731
295,0.93824494,1062,300.0,0.4127245283018868,314400,1048,0.013991830870509148,0.0001,2743
296,0.74436468,1064,300.0,0.4104830188679248,315600,1052,0.01285905297845602,0.0001,2755
297,0.40301996999999984,1066,300.0,0.4082415094339623,316800,1056,0.008909380063414574,0.0001,2767
297,0.8330916899999999,1068,300.0,0.4059999999999999,318000,1060,0.006820102222263813,0.0001,2779
298,0.6427529200000001,1070,300.0,0.40375849056603796,319200,1064,0.013274804688990116,0.0001,2791
298,0.44339451000000013,1071,300.0,0.40151698113207546,320400,1068,0.015198580920696259,0.0001,2803
299,0.6627440100000002,1073,300.0,0.39927547169811306,321600,1072,0.0065038856118917465,0.0001,2815
300,0.5941137000000001,1075,300.0,0.397033962264151,322800,1076,0.00822712667286396,0.0001,2827
300,0.36927379999999993,1077,300.0,0.3947924528301886,324000,1080,0.010538113303482533,0.0001,2839
301,0.4021644899999998,1079,300.0,0.39255094339622654,325200,1084,0.008057513274252415,0.0001,2851
301,0.6157832,1081,300.0,0.39030943396226414,326400,1088,0.014792344532907009,0.0001,2863
302,0.20988447000000005,1083,300.0,0.3880679245283021,327600,1092,0.008862266317009926,0.0001,2875
303,-0.08930496000000002,1084,300.0,0.3858264150943397,328800,1096,0.006407617125660181,0.0001,2887
303,-0.12494475000000005,1086,300.0,0.3835849056603773,330000,1100,0.013059752061963081,0.0001,2899
304,0.0001285399999999015,1088,300.0,0.3813433962264152,331200,1104,0.006414267234504223,0.0001,2911
304,0.1762437399999999,1090,300.0,0.3791018867924528,332400,1108,0.007718957960605621,0.0001,2923
305,0.22919614999999985,1092,300.0,0.37686037735849043,333600,1112,0.013121230527758598,0.0001,2935
306,0.4721045999999998,1093,300.0,0.37461886792452836,334800,1116,0.009219384752213955,0.0001,2947
306,0.37565347000000004,1095,300.0,0.37237735849056597,336000,1120,0.011286069639027119,0.0001,2959
307,0.59240921,1097,300.0,0.3701358490566039,337200,1124,0.009957604110240936,0.0001,2971
308,0.16764416999999987,1098,300.0,0.3678943396226415,338400,1128,0.01766180619597435,0.0001,2983
308,-0.18544031999999994,1100,300.0,0.36565283018867945,339600,1132,0.006296325474977493,0.0001,2995
309,-0.08459301999999988,1102,300.0,0.36341132075471705,340800,1136,0.006441105157136917,0.0001,3007
309,-0.17316882000000017,1103,300.0,0.36116981132075454,342000,1140,0.012878965586423874,0.0001,3019
310,-0.34292914000000024,1105,300.0,0.3589283018867926,343200,1144,0.00931363645941019,0.0001,3031
311,-0.3717303700000002,1107,300.0,0.3566867924528302,344400,1148,0.009418178349733353,0.0001,3043
311,0.04639772999999954,1109,300.0,0.3544452830188677,345600,1152,0.010562561452388763,0.0001,3055
312,0.7276384599999995,1110,300.0,0.35220377358490573,346800,1156,0.010452847927808762,0.0001,3067
