time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
212,300.0,76,155648,731,0.7523363900000001,0.181494140625,-1.3056586377322674,0.01809978,-0.03505562893406022,0.2,0.1135748028755188,0.0003,0.4317637696862221,0.10935866832733154,750
214,300.0,77,157696,734,1.1024004000000003,0.2046875,-1.2909516222774982,0.019713137,-0.040319841931341215,0.2,0.1823439598083496,0.0003,0.43083132090978327,0.25242507457733154,760
216,300.0,78,159744,737,1.4898712299999999,0.197265625,-1.2992408208549022,0.020479307,-0.0371029212634312,0.2,-0.017500385642051697,0.0003,0.20023654573597013,0.23385435342788696,770
218,300.0,79,161792,739,0.92762009,0.224609375,-1.2995719876140357,0.021483667,-0.039882741481415,0.2,0.09610086679458618,0.0003,0.3031568250153214,0.040716588497161865,780
220,300.0,80,163840,742,0.6724806899999999,0.18193359375,-1.2834799036383628,0.018151432,-0.03600722747796681,0.2,0.36746716499328613,0.0003,0.8956094915978611,0.1237950325012207,790
222,300.0,81,165888,744,0.22729407999999993,0.193212890625,-1.2822575487196446,0.019564258,-0.0363464864785783,0.2,0.054205507040023804,0.0003,0.2709167445078492,0.1781488060951233,800
224,300.0,82,167936,747,-0.04595634000000013,0.199755859375,-1.2794034268707037,0.017761232,-0.037975871350499804,0.2,0.06714292615652084,0.0003,0.343853619042784,0.2956302762031555,810
226,300.0,83,169984,749,-0.21546481,0.211865234375,-1.2824665166437625,0.020951726,-0.04026454858540092,0.2,0.016650870442390442,0.0003,0.14194248749408872,0.563621997833252,820
229,300.0,84,172032,750,0.30040282000000007,0.177490234375,-1.2601200856268406,0.019006876,-0.03629571821365971,0.2,0.01649586111307144,0.0003,0.2016511254478246,0.418373703956604,830
231,300.0,85,174080,752,0.42269423000000006,0.19814453125,-1.2551758676767348,0.020266432,-0.03507449403550709,0.2,0.035962752997875214,0.0003,0.2708396221045405,-0.1593775749206543,840
233,300.0,86,176128,754,0.17802478000000016,0.199169921875,-1.2746218841522932,0.018985463,-0.03638649778440595,0.2,0.17971578240394592,0.0003,0.5692926744930447,-0.018976449966430664,850
235,300.0,87,178176,755,-0.006745269999999977,0.193603515625,-1.2644287168979644,0.019993568,-0.036385000401060096,0.2,0.17841187119483948,0.0003,0.44126667296513916,-0.0033828020095825195,860
238,300.0,88,180224,757,0.5247754600000001,0.202587890625,-1.2392141614109278,0.019341405,-0.037003421054396315,0.2,0.0993492379784584,0.0003,0.245418830960989,0.05661141872406006,870
